date,Brugnera,Capriva del Friuli,Cervignano del Friuli,Cividale del Friuli,Codroipo,Enemonzo,Fagagna,Fossalon,Gemona del Friuli,Gradisca d'Is.,Lignano,Monte Zoncolan,Musi,Palazzolo dello Stella,San Vito al Tgl.,Sgonico-Zgonik,Talmassons,Tarvisio,Trieste molo F.lli Bandiera,Udine S.O.,Vivaro
2013-4,56.7,12.7,14.1,25.2,10.5,50.7,14.0,19.0,34.8,13.4,20.4,,71.4,16.6,13.8,19.5,9.9,15.1,26.2,13.4,43.7
2013-5,65.4,101.0,116.2,51.6,48.4,85.0,73.0,31.3,50.7,68.3,30.3,,76.6,38.4,63.1,37.0,39.7,39.9,22.3,47.7,59.3
2013-6,35.4,21.1,12.5,42.3,29.5,84.0,20.3,4.3,44.1,13.9,13.9,,62.4,20.0,26.3,26.3,7.1,26.0,16.6,17.3,21.6
2013-7,17.3,17.1,22.0,32.4,23.4,20.5,20.0,11.6,16.3,22.5,16.3,,23.8,11.8,37.2,5.2,18.0,26.6,10.0,34.1,17.5
2013-8,25.6,17.5,20.3,23.8,41.1,59.4,20.1,30.2,42.4,20.6,34.4,,97.2,25.6,23.5,32.1,19.6,56.2,15.0,18.3,58.3
2013-9,26.4,51.4,89.4,237.1,76.9,20.4,72.9,22.7,44.3,71.1,73.6,,78.0,128.3,35.6,55.3,159.2,26.9,33.7,117.2,31.6
2013-10,22.4,24.3,26.4,27.1,31.2,115.2,29.1,19.5,66.9,19.9,18.2,,111.0,32.6,23.0,18.4,28.4,55.5,17.3,21.4,24.2
2013-11,35.9,31.9,35.7,58.0,53.0,64.1,52.5,27.6,60.3,42.0,44.9,,106.2,61.9,68.7,67.7,45.6,53.2,40.7,44.3,67.2
2013-12,33.7,30.1,13.9,45.3,38.9,174.6,51.4,6.7,100.8,27.8,9.3,,177.6,13.9,26.1,16.2,19.2,89.6,10.4,38.6,57.2
2014-1,70.2,96.0,135.6,125.4,115.0,153.0,114.9,73.7,156.8,107.9,81.4,,208.2,83.9,86.1,34.0,105.9,80.7,21.4,132.1,95.0
2014-2,50.3,36.6,61.5,57.4,48.5,103.5,56.5,43.7,85.6,45.3,83.6,,159.6,45.0,48.4,44.2,62.3,64.7,17.6,62.7,69.6
2014-3,28.8,25.3,20.6,44.9,26.4,91.2,34.9,19.4,76.9,20.5,29.1,,168.2,22.9,25.1,38.7,20.9,64.6,13.6,32.7,56.3
2014-4,36.1,17.9,13.6,11.2,8.9,17.4,22.6,32.4,22.4,10.5,13.5,,11.2,12.6,20.4,130.7,9.0,10.1,23.1,14.4,21.5
2014-5,42.5,53.4,27.5,23.4,19.1,10.2,69.7,39.6,73.9,35.6,42.7,,154.6,12.9,11.2,21.7,31.4,53.2,20.0,31.2,41.5
2014-6,35.4,46.8,30.2,37.3,29.5,36.5,46.3,37.6,95.8,28.7,20.9,,135.6,28.2,36.4,16.8,29.6,31.1,25.2,59.3,31.9
2014-7,47.3,55.7,79.2,34.0,45.8,84.7,21.0,37.9,95.5,34.6,41.9,,55.6,45.2,38.8,37.8,21.1,23.6,46.8,65.6,31.3
2014-8,54.2,49.2,53.8,38.2,53.1,57.0,70.7,46.0,61.3,32.0,104.1,,74.0,28.4,59.0,29.8,27.5,45.7,25.3,58.2,50.1
2014-9,33.4,22.6,22.2,20.6,18.5,21.9,15.3,29.8,34.9,27.9,19.6,,29.2,13.9,27.0,34.4,33.2,28.3,20.1,18.7,11.8
2014-10,46.6,69.3,16.8,17.3,36.3,37.0,30.9,76.5,29.6,26.8,8.8,,36.0,19.5,35.5,20.8,52.9,16.0,61.0,20.3,66.5
2014-11,54.8,81.0,46.2,62.7,151.0,184.0,137.7,101.4,149.5,87.3,52.6,,240.4,42.4,44.2,61.0,36.9,63.3,35.6,57.6,94.5
2014-12,28.0,44.1,78.3,55.0,30.0,90.6,49.3,38.2,88.6,44.9,44.8,,103.4,29.3,26.8,35.7,31.6,57.8,10.5,37.8,27.5
2015-1,9.9,30.1,26.6,29.5,13.8,71.7,15.6,52.0,37.0,28.5,16.9,,121.2,15.0,10.0,42.3,17.0,24.7,21.1,22.5,18.0
2015-2,10.3,2.9,6.7,2.6,6.5,8.2,13.3,5.0,12.6,4.3,13.1,,16.8,8.0,11.2,17.6,3.7,9.4,5.5,3.3,10.4
2015-3,45.1,29.0,22.8,32.0,45.8,51.1,55.7,24.6,89.8,42.3,21.3,,82.4,31.3,52.6,39.3,24.4,33.6,15.6,28.1,70.8
2015-4,31.7,7.3,6.8,7.6,16.8,19.6,27.5,5.2,58.0,6.5,9.3,,69.8,14.0,29.4,15.2,11.9,8.1,7.4,16.6,43.6
2015-5,49.1,26.5,35.4,28.2,22.4,52.1,22.1,15.2,33.3,27.0,20.4,,57.0,14.6,13.3,15.2,19.4,43.0,10.2,28.1,53.6
2015-6,72.4,46.7,30.6,28.3,76.4,30.7,43.2,34.1,69.0,38.6,33.6,,118.2,32.4,70.4,32.9,31.6,55.9,27.0,25.6,43.1
2015-7,20.5,30.9,42.6,51.8,119.3,29.1,147.9,10.5,66.4,36.9,11.4,,65.6,38.8,28.0,14.4,28.2,26.6,24.1,58.0,64.5
2015-8,25.7,41.0,52.7,35.5,41.0,41.6,28.3,73.6,34.4,41.2,61.3,,50.8,30.7,45.0,51.0,29.5,22.3,47.4,50.8,16.6
2015-9,78.4,96.8,69.2,137.1,55.3,66.9,63.5,70.2,181.2,61.9,24.8,,206.4,53.7,53.8,53.0,85.9,80.2,34.0,53.6,119.3
2015-10,32.9,89.8,85.2,72.3,84.2,45.3,64.7,64.4,79.4,103.7,96.6,,84.4,87.7,68.1,94.5,94.4,47.0,26.6,85.4,55.4
2015-11,6.6,13.4,16.9,13.5,6.8,1.4,7.5,18.2,6.0,17.6,14.7,,17.6,9.3,7.4,26.8,13.2,24.9,20.4,12.6,8.0
2015-12,0.4,0.9,0.4,0.8,0.1,0.0,1.1,0.3,0.0,0.8,0.0,,0.0,0.0,0.8,1.3,0.1,0.0,0.0,0.8,0.0
2016-1,16.4,28.1,21.2,30.9,19.6,49.4,26.7,22.2,60.2,27.4,17.1,,168.0,12.1,18.6,28.1,20.0,42.6,23.0,25.0,26.8
2016-2,39.2,41.1,49.6,46.2,60.5,77.2,65.9,40.9,64.0,57.3,35.1,,120.4,27.0,74.2,37.4,35.4,37.6,28.6,52.5,57.9
2016-3,53.8,14.7,36.7,19.3,49.6,51.3,48.6,26.6,73.9,16.3,38.9,,105.8,54.6,81.6,20.9,49.8,42.1,16.9,38.4,85.5
2016-4,24.5,22.7,24.7,23.4,15.4,32.6,16.1,34.9,15.0,24.5,33.6,,35.6,17.2,19.2,17.4,20.5,28.9,4.9,17.1,15.9
2016-5,39.9,22.1,40.6,38.8,34.4,54.6,46.7,32.2,88.5,25.1,28.5,,77.4,30.9,31.7,25.7,29.8,25.9,17.1,61.6,40.7
2016-6,55.5,38.8,26.8,48.3,33.3,55.6,40.5,47.2,106.1,30.7,48.0,,93.0,22.9,27.4,21.1,26.8,44.2,39.7,58.8,28.5
2016-7,16.0,17.3,15.0,25.1,12.3,160.3,12.4,10.0,37.4,19.7,12.4,,130.0,7.0,38.2,19.4,12.1,111.9,7.4,34.2,14.5
2016-8,41.3,24.9,19.9,39.4,25.1,45.9,34.7,11.4,38.4,21.7,13.9,,79.4,10.3,19.3,17.7,23.3,56.4,13.6,29.5,57.6
